user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
flJBgj7T,13943,409,2,20,0,0,1
XDwBibB7,13944,409,1,6,0,0,0
oYQLSEqC,13945,409,2,8,0,0,1
wgu2v4iv,13946,409,1,6,0,0,0
VdD77N2W,13947,409,1,6,0,0,0
1mZXDK5c,13948,409,1,9,0,0,0
nMkixAIU,13949,409,1,6,0,0,0
x3aaRrlX,13950,409,4,22,1,0,1
VzLVX17x,13951,409,1,6,0,0,0
Xj1GwMdI,13952,409,4,16,0,0,3
Mb3Fu5wg,13953,409,7,24,0,0,5
NaX4M7rm,13954,409,2,13,1,0,0
cGN18HAO,13955,409,1,6,0,0,0
5qDiIGWq,13956,409,1,6,0,0,0
9PeiNese,13957,409,2,16,0,0,1
jL4OBB8U,13958,409,1,6,0,0,0
vmMYiSJg,13959,409,2,20,0,0,1
Tob60I6H,13960,409,1,6,0,0,0
3PSU5CFB,13961,409,6,21,0,1,4
XiS6DtD6,13962,409,11,51,0,0,10
OYJ0UeIM,13963,409,2,6,0,0,1
zftZIbhO,13964,409,1,13,0,0,0
dagNplqu,13965,409,1,7,0,0,0
lSRmUQ5V,13966,409,1,6,0,0,0
jX1p6Jkq,13967,409,1,7,0,0,0
mKnk9Q49,13968,409,1,12,0,0,0
apHfAhAz,13969,409,1,7,0,0,0
1ZMvIAy8,13970,409,7,14,0,0,5
tChB5d4Z,13971,409,1,6,0,0,0
ywMUrd9L,13972,409,2,7,0,0,1
kwcKOAmY,13973,409,7,13,1,0,5
pPrmavzP,13974,409,2,7,0,0,1
oHLVcQBY,13975,409,5,21,0,0,1
Fn4z2kFQ,13976,409,9,17,0,0,8
Ln5RD2sr,13977,409,3,8,0,0,1
lLVXwpaL,13978,409,1,6,0,0,0
N5y0e7Fo,13979,409,1,7,0,0,0
wAvMRbmn,13980,409,5,11,0,0,4
iH9Eeit0,13981,409,1,6,0,0,0
lOTNfvQI,13982,409,1,6,0,0,0
j6PN5dZh,13983,409,30,90,0,2,20
vkJAhc9Y,13984,409,2,6,1,0,0
XI1kKbbr,13985,409,1,6,0,0,0
yaoWYcoG,13986,409,7,22,0,0,6
s0mKn8vT,13987,409,1,8,0,0,0
uC0fXotF,13988,409,5,15,2,1,1
gvjIkPTz,13989,409,1,6,0,0,0
WljOaF07,13990,409,1,6,0,0,0
KiT9puMr,13991,409,1,7,0,0,0
vkRSftqQ,13992,409,2,13,0,0,1
YJWUGaLv,13993,409,6,14,0,0,5
Tdrly40c,13994,409,3,16,0,1,1
PLjbrTzK,13995,409,1,6,0,0,0
OTe32mQv,13996,409,3,11,0,0,1
zu3eoPtx,13997,409,11,39,1,0,9
LNVVXD1s,13998,409,2,15,0,0,1
q8o2buzv,13999,409,2,11,0,0,1
M5ppM8O7,14000,409,1,14,0,0,0
EXGriqwl,14001,409,4,11,0,0,3
UxjOmWGN,14002,409,2,7,0,0,1
XbrcGDwg,14003,409,2,6,1,0,0
RG5lBX5Z,14004,409,4,25,0,0,3
rtxCNU7M,14005,409,1,6,0,0,0
7hk0FzEk,14006,409,1,14,0,0,0
R7akC9pL,14007,409,1,9,0,0,0
VBdRCSAC,14008,409,1,6,0,0,0
XqXEUC3T,14009,409,2,7,0,0,1
fQ4Tc3oF,14010,409,2,14,0,0,1
R8WJ1iqT,14011,409,1,6,0,0,0
Zs0fdAjv,14012,409,6,20,0,0,4
dYa6SFF1,14013,409,1,6,0,0,0
wtA9n6Qp,14014,409,1,6,0,0,0
tOPtwLxH,14015,409,1,7,0,0,0
yt1B26la,14016,409,1,6,0,0,0
2i8HZSUU,14017,409,18,95,0,0,15
ueCqxRaO,14018,409,1,8,0,0,0
Wa1BgFHe,14019,409,1,6,0,0,0
xPShlyXS,14020,409,1,6,0,0,0
xNMCRn6B,14021,409,1,6,0,0,0
FcdGHEnS,14022,409,2,7,0,0,1
yToGanF9,14023,409,10,34,3,2,3
gcpnDopk,14024,409,20,53,0,0,18
KMx2nwOb,14025,409,1,7,0,0,0
O5jWAiMO,14026,409,2,11,0,0,1
yMrGgD2b,14027,409,1,6,0,0,0
E79e6tSc,14028,409,2,13,0,0,1
S0GW1LAY,14029,409,12,55,0,0,10
EbtAeVsL,14030,409,4,27,0,1,2
OaygVNV8,14031,409,1,6,0,0,0
MQM0v2bj,14032,409,1,8,0,0,0
bJtKFwWK,14033,409,1,9,0,0,0
bhVBTwB1,14034,409,1,6,0,0,0
p5Rwegpk,14035,409,2,7,0,0,1
j3kMd6ic,14036,409,1,6,0,0,0
8CTUjzFC,14037,409,1,6,0,0,0
2Ym231vS,14038,409,1,6,0,0,0
hs47SDH1,14039,409,1,6,0,0,0
Vy1zR56G,14040,409,1,6,0,0,0
PMyYh3RQ,14041,409,1,8,0,0,0
NEMIe397,14042,409,25,93,0,0,24
wFEkJwy3,14043,409,1,11,0,0,0
lHQxA7I1,14044,409,2,7,0,0,1
hJaZ41IU,14045,409,1,6,0,0,0
HIiGmDA9,14046,409,4,19,1,0,2
bTECeFY8,14047,409,1,7,0,0,0
UJpq9QXn,14048,409,1,7,0,0,0
5JIcyrku,14049,409,3,9,0,0,2
n7rHKk2i,14050,409,2,7,0,0,1
Wghoc7UC,14051,409,1,6,0,0,0
EzqQhx7V,14052,409,1,6,0,0,0
M5V5kJ7T,14053,409,2,19,0,0,1
RECWkWJ8,14054,409,8,17,4,0,2
9CSP7mGN,14055,409,4,16,0,0,2
gM2qUOve,14056,409,5,19,0,0,4
mqZeZojl,14057,409,1,6,0,0,0
Nz6NEGMC,14058,409,1,6,0,0,0
ohxQKgAr,14059,409,2,19,0,0,1
Urg0FoP6,14060,409,1,8,0,0,0
6y8z6KtE,14061,409,1,6,0,0,0
hqUNmOjL,14062,409,4,8,0,0,3
2vS5Mruv,14063,409,1,10,0,0,0
sDRKvECh,14064,409,1,6,0,0,0
O8oRgt7w,14065,409,1,9,0,0,0
wDE0Nf9M,14066,409,10,45,2,0,7
LceZho14,14067,409,8,40,0,0,7
4y2a0Weg,14068,409,3,8,0,0,2
ewuPbunc,14069,409,1,6,0,0,0
oMJMtENn,14070,409,1,6,0,0,0
ZmiL50BG,14071,409,1,7,0,0,0
zlaRwp9c,14072,409,5,16,0,0,4
EylwxYKh,14073,409,11,31,7,1,2
8kWBaJyC,14074,409,3,11,0,0,2
Ium2yo2x,14075,409,1,15,0,0,0
GAOGoL5I,14076,409,13,49,0,0,12
HUiHoLEW,14077,409,1,6,0,0,0
CVEVYQL2,14078,409,4,25,0,1,1
8MAcwu7M,14079,409,1,10,0,0,0
